,material
1032,Sm1Ba1.85Pr0.15Cu3O7.02
1033,Sm1Ba1.8Pr0.2Cu3O7.04
1034,Sm1Ba1.9Pr0.1Cu3O6.99
1035,Sm1Ba1Sr1Cu3O6.94
1036,Sm1Ba2Cu2.7Fe0.3O7
1037,Sm1Ba2Cu2.7Ni0.3O6.97
1038,Sm1Ba2Cu2.85Zn0.15O7
1039,Sm1Ba2Cu2.8Fe0.2O6.96
1040,Sm1Ba2Cu2.8Ni0.2O7
1041,Sm1Ba2Cu2.92Fe0.08O7
1042,Sm1Ba2Cu2.92Zn0.08O6.85
1043,Sm1Ba2Cu2.92Zn0.08O7
1044,Sm1Ba2Cu2.94Fe0.06O7
1045,Sm1Ba2Cu2.94Ni0.06O7
1046,Sm1Ba2Cu2.94Zn0.06O6.85
1047,Sm1Ba2Cu2.94Zn0.06O7
1048,Sm1Ba2Cu2.96Fe0.04O6.81
1049,Sm1Ba2Cu2.96Zn0.04O6.83
1050,Sm1Ba2Cu2.96Zn0.04O7
1051,Sm1Ba2Cu2.98Fe0.02O6.76
1052,Sm1Ba2Cu2.98Ni0.02O7
1053,Sm1Ba2Cu2.98Zn0.02O6.82
1054,Sm1Ba2Cu2.98Zn0.02O7
1055,Sm1Ba2Cu2.99Zn0.01O7
1056,Sm1Ba2Cu2.9Fe0.1O6.89
1057,Sm1Ba2Cu2.9Ni0.1O7
1058,Sm1Ba2Cu2.9Zn0.1O6.83
1059,Sm1Ba2Cu2.9Zn0.1O7
1060,Sm1Ba2Cu3O6.55
1061,Sm1Ba2Cu3O6.554
1062,Sm1Ba2Cu3O6.62
1063,Sm1Ba2Cu3O6.65
1064,Sm1Ba2Cu3O6.709
1065,Sm1Ba2Cu3O6.73
1066,Sm1Ba2Cu3O6.734
1067,Sm1Ba2Cu3O6.75
1068,Sm1Ba2Cu3O6.773
1069,Sm1Ba2Cu3O6.813
1070,Sm1Ba2Cu3O6.82
1071,Sm1Ba2Cu3O6.85
1072,Sm1Ba2Cu3O6.858
1073,Sm1Ba2Cu3O6.86
1074,Sm1Ba2Cu3O6.878
1075,Sm1Ba2Cu3O6.89
1076,Sm1Ba2Cu3O6.9
1077,Sm1Ba2Cu3O6.92
1078,Sm1Ba2Cu3O6.927
1079,Sm1Ba2Cu3O6.941
1080,Sm1Ba2Cu3O6.944
1081,Sm1Ba2Cu3O6.95
1082,Sm1Ba2Cu3O6.99
1083,Sm1Ba2Cu3O7
1084,Sm1Ba2Cu3O7.01
1085,Sm1Ba2Cu3O7.11
1086,Sr0.7Ba1.3Y1Cu2.8Al0.2O7.03
1087,Sr0.7Ba1.3Y1Cu2.8Al0.2O7.11
1088,Sr1.2Ba0.8Y1Cu2.8Al0.2O7.19
1089,Sr1.5Ba0.5Y1Cu2.8Ga0.2O6.96
1090,Sr1.5Ba0.5Y1Cu2.8Ga0.2O7
1091,Sr1.5Ba0.5Y1Cu2.8Ga0.2O7.1
1092,Sr1.5Ba0.5Y1Cu2.8Ga0.2O7.14
1093,Sr1.5Ba0.5Y1Cu2.8Ga0.2O7.2
1094,Sr1.5Ba0.5Y1Cu2.8Ge0.2O7
1095,Sr1.5Ba0.5Y1Cu2.8Mo0.2O7.03
1096,Sr1.5Ba0.5Y1Cu2.8Ti0.2O7
1097,Sr1.5Ba0.5Y1Cu2.8Ti0.2O7.08
1098,Sr1.5Ba0.5Y1Cu2.8Ti0.2O7.2
1099,Sr1Ba1Y1Cu2.8Al0.2O7.15
1100,Sr2Ca1Cu2.8O7.5
1101,Sr2Tm1Cu3O7.2
1102,Sr2Tm1Cu3O7.28
1103,Sr2Tm1Cu3O7.48
1104,Sr2Y0.7Ca0.3Cu2.35Pb0.65O6.89
1105,Sr2Y1Cu3O7.45
1106,Tb1Sr2Cu2.69Mo0.31O7
1107,Tb1Sr2Cu2.7Mo0.3O7
1108,Tb1Sr2Cu2.7Mo0.3O7.15
1109,Tl0.3Sr1.6Yb0.4Ca1Cu2.3O7
1110,Tl0.4Sr1.6Yb0.4Ca1Cu2.4O7
1111,Tl0.4Sr1.8Yb0.2Ca1Cu2.6O7
1112,Tl0.5Pb0.5Ca1Sr2Cu2O7
1113,Tl0.5Pb0.5Sr1.84Nd0.16Ca1Cu2O7
1114,Tl0.5Pb0.5Sr1.8Yb0.2Ca0.2Mg0.8Cu2O7
1115,Tl0.5Pb0.5Sr1.8Yb0.2Ca0.4Mg0.6Cu2O7
1116,Tl0.5Pb0.5Sr1.8Yb0.2Ca0.6Mg0.4Cu2O7
1117,Tl0.5Pb0.5Sr1.8Yb0.2Ca0.8Mg0.2Cu2O7
1118,Tl0.5Pb0.5Sr1.8Yb0.2Ca1Cu2O7
1119,Tl0.5Pb0.5Sr1.8Yb0.2Mg1Cu2O7
1120,Tl0.5Pb0.5Sr2Ca0.65Y0.35Cu2O7
1121,Tl0.5Pb0.5Sr2Ca0.8Y0.2Cu2O7
1122,Tl0.5Pb0.5Sr2Ca0.9Y0.1Cu2O7
1123,Tl0.5Pb0.5Sr2Ca1Cu2O7
1124,Tl0.5Sr1.6Yb0.4Ca1Cu2.5O7
1125,Tl0.5Sr1.8Yb0.2Ca1Cu2.5O7
1126,Tl0.6Sr1.8Yb0.2Ca1Cu2.4O7
1127,Tl0.75Pb0.25Ca1Sr2Cu2O7
1128,Tl0.7Pb0.3Ca1Sr2Cu2O7
1129,Tl0.7Sr1.8Yb0.2Ca1Cu2.3O7
1130,Tl0.85Cr0.15Sr2Ca1Cu2O7
1131,Tl0.8Mo0.2Sr2Ca1Cu2O7
1132,Tl0.8Sr1.8Yb0.2Ca1Cu2.2O7
1133,Tl0.9Sr1.6Yb0.4Ca1Cu2.1O7
1134,Tl0.9Sr1.8Yb0.2Ca1Cu2.1O7
1135,Tl1.2Sr2Ca0.8Cu2O6.862
1136,Tl1Ba1Sr1Ca1Cu2O7
1137,Tl1Ba2Ca0.5Nd0.5Cu2O6.86
1138,Tl1Ba2Ca0.65Y0.35Cu2O7
1139,Tl1Ba2Ca0.6Y0.4Cu2O7
1140,Tl1Ba2Ca0.7Gd0.3Cu2O7
1141,Tl1Ba2Ca0.7Nd0.3Cu2O7
1142,Tl1Ba2Ca0.8Gd0.2Cu2O7
1143,Tl1Ba2Ca0.8Nd0.2Cu2O6.86
1144,Tl1Ba2Ca0.8Nd0.2Cu2O7
1145,Tl1Ba2Ca0.8Y0.2Cu2O7
1146,Tl1Ba2Ca0.9Gd0.1Cu2O7
1147,Tl1Ba2Ca0.9Nd0.1Cu2O7
1148,Tl1Ba2Ca0.9Y0.1Cu2O7
1149,Tl1Ba2Ca1Cu2O7
1150,Tl1Sr1.3Nd0.7Ca1Cu2O7
1151,Tl1Sr1.55Ce0.45Ca1Cu2O7
1152,Tl1Sr1.5Ca0.5Yb1Cu2O7
1153,Tl1Sr1.5Ce0.5Ca1Cu2O7
1154,Tl1Sr1.5Dy0.5Ca1Cu2O7
1155,Tl1Sr1.5Er0.5Ca1Cu2O7
1156,Tl1Sr1.5Eu0.5Ca1Cu2O7
1157,Tl1Sr1.5Gd0.5Ca1Cu2O7
1158,Tl1Sr1.5Ho0.5Ca1Cu2O7
1159,Tl1Sr1.5La0.5Ca1Cu2O7
1160,Tl1Sr1.5Lu0.5Ca1Cu2O7
1161,Tl1Sr1.5Nd0.5Ca1Cu2O7
1162,Tl1Sr1.5Pr0.5Ca1Cu2O7
1163,Tl1Sr1.5Sm0.5Ca1Cu2O7
1164,Tl1Sr1.5Tb0.5Ca1Cu2O7
1165,Tl1Sr1.5Tm0.5Ca1Cu2O7
1166,Tl1Sr1.5Yb0.5Ca1Cu2O7
1167,Tl1Sr1.65Ce0.35Ca1Cu2O7
1168,Tl1Sr1.6Ce0.4Ca1Cu2O7
1169,Tl1Sr1.6Yb0.4Ca1Cu2O7
1170,Tl1Sr1.75Ce0.25Ca1Cu2O7
1171,Tl1Sr1.7Ca0.3Yb1Cu2O7
1172,Tl1Sr1.7Ce0.3Ca1Cu2O7
1173,Tl1Sr1.8Ca0.2Yb1Cu2O7
1174,Tl1Sr1.8Ce0.2Ca1Cu2O7
1175,Tl1Sr1.8Yb0.2Ca1Cu2O7
1176,Tl1Sr2Ca0.1Y0.9Cu2O6.97
1177,Tl1Sr2Ca0.2Pr0.8Cu2O7
1178,Tl1Sr2Ca0.2Y0.8Cu2O6.97
1179,Tl1Sr2Ca0.3Y0.7Cu2O6.97
1180,Tl1Sr2Ca0.4Gd0.6Cu2O7
1181,Tl1Sr2Ca0.4Pr0.6Cu2O7
1182,Tl1Sr2Ca0.4Tb0.6Cu2O7
1183,Tl1Sr2Ca0.4Y0.6Cu2O6.93
1184,Tl1Sr2Ca0.4Y0.6Cu2O7
1185,Tl1Sr2Ca0.5Sm0.5Cu2O6.75
1186,Tl1Sr2Ca0.5Y0.5Cu2O6.89
1187,Tl1Sr2Ca0.65Ce0.35Cu2O7
1188,Tl1Sr2Ca0.6Ce0.4Cu2O7
1189,Tl1Sr2Ca0.6Gd0.4Cu2O7
1190,Tl1Sr2Ca0.6Pr0.4Cu2O7
1191,Tl1Sr2Ca0.6Y0.4Cu2O6.86
1192,Tl1Sr2Ca0.6Y0.4Cu2O7
1193,Tl1Sr2Ca0.7Ce0.3Cu2O7
1194,Tl1Sr2Ca0.7Y0.3Cu2O6.84
1195,Tl1Sr2Ca0.8Ce0.2Cu2O7
1196,Tl1Sr2Ca0.8Pr0.2Cu2O7
1197,Tl1Sr2Ca0.8Y0.2Cu2O6.82
1198,Tl1Sr2Ca0.8Y0.2Cu2O7
1199,Tl1Sr2Ca1Cu2O6.52
1200,Tl1Sr2Ca1Cu2O6.58
1201,Tl1Sr2Ca1Cu2O6.61
1202,Tl1Sr2Ca1Cu2O6.68
1203,Tl1Sr2Ca1Cu2O6.74
1204,Tl1Sr2Ca1Cu2O6.75
1205,Tl1Sr2Ca1Cu2O6.76
1206,Tl1Sr2Ca1Cu2O6.8
1207,Tl1Sr2Ca1Cu2O6.825
1208,Tl1Sr2Ca1Cu2O6.837
1209,Tl1Sr2Ca1Cu2O6.85
1210,Tl1Sr2Ca1Cu2O6.862
1211,Tl1Sr2Ca1Cu2O7
1212,Tl1Sr2Sr0.5Dy0.5Cu2O7
1213,Tl1Sr2Sr0.5Er0.5Cu2O7
1214,Tl1Sr2Sr0.5Eu0.5Cu2O7
1215,Tl1Sr2Sr0.5Gd0.5Cu2O7
1216,Tl1Sr2Sr0.5Ho0.5Cu2O7
1217,Tl1Sr2Sr0.5La0.5Cu2O7
1218,Tl1Sr2Sr0.5Nd0.5Cu2O7
1219,Tl1Sr2Sr0.5Pr0.5Cu2O7
1220,Tl1Sr2Sr0.5Sm0.5Cu2O7
1221,Tl1Sr2Sr0.5Tb0.5Cu2O7
1222,Tl1Sr2Sr0.5Tm0.5Cu2O7
1223,Tl1Sr2Sr0.5Y0.5Cu2O7
1224,Tl1Sr2Sr0.5Yb0.5Cu2O7
1225,Tm0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7
1226,Tm0.5Pr0.5Ba2Cu3O6.64
1227,Tm0.5Pr0.5Ba2Cu3O6.95
1228,Tm0.6Pr0.4Ba2Cu3O6.95
1229,Tm0.7Pr0.3Ba2Cu3O6.95
1230,Tm0.8Pr0.2Ba2Cu3O6.95
1231,Tm0.8Pr0.2Ba2Cu3O7
1232,Tm0.9Ca0.1Ba2Cu3O7
1233,Tm0.9Pr0.1Ba2Cu3O6.95
1234,Tm1Ba1Sr1Cu3O6.94
1235,Tm1Ba2Cu2.55Fe0.45O7
1236,Tm1Ba2Cu2.55Ni0.45O7
1237,Tm1Ba2Cu2.775Ni0.225O7
1238,Tm1Ba2Cu2.7Fe0.3O7
1239,Tm1Ba2Cu2.7Ni0.3O7
1240,Tm1Ba2Cu2.85Fe0.15O7
1241,Tm1Ba2Cu2.85Ni0.15O7
1242,Tm1Ba2Cu2.925Fe0.075O7
1243,Tm1Ba2Cu2.925Ni0.075O7
1244,Tm1Ba2Cu3O6.65
1245,Tm1Ba2Cu3O6.71
1246,Tm1Ba2Cu3O6.72
1247,Tm1Ba2Cu3O6.8
1248,Tm1Ba2Cu3O6.86
1249,Tm1Ba2Cu3O6.87
1250,Tm1Ba2Cu3O6.91
1251,Tm1Ba2Cu3O6.94
1252,Tm1Ba2Cu3O6.95
1253,Tm1Ba2Cu3O6.96
1254,Tm1Ba2Cu3O6.99
1255,Tm1Ba2Cu3O7
1256,Y0.14Tm0.85Ba2Cu3O7
1257,Y0.1La0.9Ba2Cu3O7.05
1258,Y0.25Cd0.75Ba2Cu3O7
1259,Y0.25Pr0.75Sr2Cu2.8Re0.2O7
1260,Y0.2Ca0.4Pr0.4Ba2Cu3O7
1261,Y0.2Eu0.8Ba2Cu3O7
1262,Y0.2Gd0.8Ba2Cu3O7
1263,Y0.2La0.8Ba2Cu3O7
1264,Y0.2Pr0.3Ca0.5Ba2Cu3O7
1265,Y0.2Yb0.8Ba2Cu3O6.91
1266,Y0.35Pr0.65Ba1Sr1Cu3O6.9
1267,Y0.35Pr0.65Ba1Sr1Cu3O7
1268,Y0.38Ba1.74La0.88Cu3O6.95
1269,Y0.3Cd0.7Ba2Cu3O7
1270,Y0.3La0.7Ba2Cu3O6.98
1271,Y0.3Pr0.7Ba1Sr1Cu3O6.95
1272,Y0.3Pr0.7Sr2Cu2.7Mo0.3O7
1273,Y0.3Pr0.7Sr2Cu2.85Re0.15O7
1274,Y0.4375La0.2625Pr0.3Ba2Cu3O7
1275,Y0.44Pr0.56Ba2Cu3O6.93
1276,Y0.44Pr0.56Ba2Cu3O7
1277,Y0.45Pr0.55Ba2Cu3O6.953
1278,Y0.45Pr0.55Ba2Cu3O6.98
1279,Y0.47Pr0.53Ba2Cu3O6.96
1280,Y0.47Pr0.53Ba2Cu3O7
1281,Y0.4Ca0.3Pr0.3Ba2Cu3O7.02
1282,Y0.4Ca0.6Ba1.1La0.9Cu3O7.12
1283,Y0.4Ca0.6Ba1.2La0.8Cu3O7.07
1284,Y0.4Cd0.6Ba2Cu3O7
1285,Y0.4Gd0.6Ba2Cu3O7
1286,Y0.4La0.6Ba2Cu3O6.99
1287,Y0.4Pr0.6Ba0.75Sr1.25Cu3O6.92
1288,Y0.4Pr0.6Ba1.25Sr0.75Cu3O6.92
1289,Y0.4Pr0.6Ba1.2Sr0.8Cu3O7
1290,Y0.4Pr0.6Ba1.5Ca0.5Cu3O7
1291,Y0.4Pr0.6Ba1.6Ca0.4Cu3O7
1292,Y0.4Pr0.6Ba1.7Ca0.3Cu3O7
1293,Y0.4Pr0.6Ba1.8Ca0.2Cu3O7
1294,Y0.4Pr0.6Ba1Sr1Cu3O6.92
1295,Y0.4Pr0.6Ba1Sr1Cu3O7
1296,Y0.4Pr0.6Ba2Cu3O6.95
1297,Y0.4Pr0.6Sr2Cu2.7Mo0.3O7
1298,Y0.4Pr0.6Sr2Cu2.85Re0.15O6.8
1299,Y0.4Yb0.6Ba2Cu3O6.93
1300,Y0.52Eu0.58Ba1.9Cu2.69Al0.42O7
1301,Y0.54Pr0.46Ba2Cu3O7
1302,Y0.55Pr0.45Ba2Cu3O6.65
1303,Y0.55Pr0.45Ba2Cu3O6.8
1304,Y0.55Pr0.45Ba2Cu3O6.98
1305,Y0.55Pr0.45Ba2Cu3O7
1306,Y0.55Pr0.45Ba2Cu3O7.01
1307,Y0.5625La0.3375Pr0.1Ba2Cu3O7
1308,Y0.56Pr0.44Ba2Cu3O7
1309,Y0.57Pr0.43Ba2Cu3O7
1310,Y0.58Pr0.42Ba2Cu3O7
1311,Y0.5Ca0.5Ba1.1La0.9Cu3O7.15
1312,Y0.5Ca0.5Ba1.2La0.8Cu3O7.12
1313,Y0.5Ca0.5Ba1.5La0.5Cu3O6.94
1314,Y0.5Ca0.5Ba1.5La0.5Cu3O6.96
1315,Y0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7
1316,Y0.5Cd0.5Ba2Cu3O7
1317,Y0.5La0.3Pr0.2Ba2Cu3O7
1318,Y0.5La0.5Ba2Cu3O7.01
1319,Y0.5Pr0.2Ca0.3Ba2Cu3O7
1320,Y0.5Pr0.2Cd0.1Ca0.2Ba2Cu3O7
1321,Y0.5Pr0.2Cd0.2Ca0.1Ba2Cu3O7
1322,Y0.5Pr0.2Cd0.3Ba2Cu3O7
1323,Y0.5Pr0.5Ba1Sr1Cu3O6.9
1324,Y0.5Pr0.5Ba1Sr1Cu3O7
1325,Y0.5Pr0.5Ba2Cu3O6.53
1326,Y0.5Pr0.5Ba2Cu3O6.61
1327,Y0.5Pr0.5Ba2Cu3O6.65
1328,Y0.5Pr0.5Ba2Cu3O6.66
1329,Y0.5Pr0.5Ba2Cu3O6.68
1330,Y0.5Pr0.5Ba2Cu3O6.71
1331,Y0.5Pr0.5Ba2Cu3O6.76
1332,Y0.5Pr0.5Ba2Cu3O6.85
1333,Y0.5Pr0.5Ba2Cu3O6.95
1334,Y0.5Pr0.5Ba2Cu3O6.96
1335,Y0.5Pr0.5Ba2Cu3O6.965
1336,Y0.5Pr0.5Ba2Cu3O6.98
1337,Y0.5Pr0.5Ba2Cu3O7
1338,Y0.5Pr0.5Sr2Cu2.7Mo0.3O7
1339,Y0.5Pr0.5Sr2Cu2.85Re0.15O7
1340,Y0.5Sc0.5Ba2Cu3O7
1341,Y0.5Sm0.5Ba2Cu3O7
1342,Y0.625La0.375Ba2Cu3O7
1343,Y0.64Ca0.36Ba2Cu2.64Co0.36O6.87
1344,Y0.65Ca0.15Pr0.2Ba2Cu3O6.95
1345,Y0.65Ca0.35Sr2Cu2Ga1O6.99
1346,Y0.65Ca0.35Sr2Cu2Ga1O7
1347,Y0.65Pr0.2Ca0.15Ba2Cu3O7
1348,Y0.65Pr0.35Ba2Cu3O6.6
1349,Y0.65Pr0.35Ba2Cu3O6.75
1350,Y0.65Pr0.35Ba2Cu3O6.85
1351,Y0.65Pr0.35Ba2Cu3O6.95
1352,Y0.65Pr0.35Ba2Cu3O7.01
1353,Y0.68Eu0.39Ba1.93Cu2.73Al0.32O7
1354,Y0.68Tb0.32Ba2Cu3O7
1355,Y0.6Ca0.2Pr0.2Ba2Cu3O6.95
1356,Y0.6Ca0.2Pr0.2Ba2Cu3O7
1357,Y0.6Ca0.4Ba1.1La0.9Cu3O7.18
1358,Y0.6Ca0.4Ba1.2La0.8Cu3O7.15
1359,Y0.6Ca0.4Ba1.3La0.7Cu3O7.12
1360,Y0.6Ca0.4Ba1.4La0.6Cu3O7.07
1361,Y0.6Ca0.4Ba1.5La0.5Cu3O7.01
1362,Y0.6Ca0.4Ba1.6La0.4Cu3O6.95
1363,Y0.6Ca0.4Ba1.6La0.4Cu3O6.96
1364,Y0.6Ca0.4Sr1.6Ba0.4Cu2Ga1O7
1365,Y0.6Ca0.4Sr1.7Ba0.3Cu2Ga1O7
1366,Y0.6Ca0.4Sr1.8Ba0.2Cu2Ga1O7
1367,Y0.6Ca0.4Sr2Cu2Ga1O7
1368,Y0.6Cd0.4Ba2Cu3O7
1369,Y0.6Eu0.4Ba2Cu3O7
1370,Y0.6Gd0.4Ba2Cu3O7
1371,Y0.6La0.4Ba2Cu3O6.92
1372,Y0.6Pr0.2Ca0.2Ba2Cu3O7
1373,Y0.6Pr0.2Cd0.2Ba2Cu3O7
1374,Y0.6Pr0.4Ba0.2Sr1.8Cu3O7
1375,Y0.6Pr0.4Ba0.4Sr1.6Cu3O7
1376,Y0.6Pr0.4Ba0.6Sr1.4Cu3O6.89
1377,Y0.6Pr0.4Ba0.8Sr1.2Cu3O6.89
1378,Y0.6Pr0.4Ba1.2Sr0.8Cu3O6.89
1379,Y0.6Pr0.4Ba1.4Sr0.6Cu3O6.83
1380,Y0.6Pr0.4Ba1.6Sr0.4Cu3O6.87
1381,Y0.6Pr0.4Ba1.8Sr0.2Cu3O6.85
1382,Y0.6Pr0.4Ba1Sr1Cu3O6.89
1383,Y0.6Pr0.4Ba1Sr1Cu3O6.9
1384,Y0.6Pr0.4Ba1Sr1Cu3O7
1385,Y0.6Pr0.4Ba2Cu3O6.5
1386,Y0.6Pr0.4Ba2Cu3O6.53
1387,Y0.6Pr0.4Ba2Cu3O6.61
1388,Y0.6Pr0.4Ba2Cu3O6.65
1389,Y0.6Pr0.4Ba2Cu3O6.66
1390,Y0.6Pr0.4Ba2Cu3O6.76
1391,Y0.6Pr0.4Ba2Cu3O6.8
1392,Y0.6Pr0.4Ba2Cu3O6.85
1393,Y0.6Pr0.4Ba2Cu3O6.88
1394,Y0.6Pr0.4Ba2Cu3O6.9
1395,Y0.6Pr0.4Ba2Cu3O6.929
1396,Y0.6Pr0.4Ba2Cu3O6.95
1397,Y0.6Pr0.4Ba2Cu3O6.96
1398,Y0.6Pr0.4Ba2Cu3O6.965
1399,Y0.6Pr0.4Ba2Cu3O6.97
1400,Y0.6Pr0.4Ba2Cu3O6.98
1401,Y0.6Pr0.4Ba2Cu3O7
1402,Y0.6Pr0.4Sr2Cu2.7Mo0.3O7
1403,Y0.6Sm0.4Ba2Cu3O7
1404,Y0.72Pr0.28Ba2Cu3O7
1405,Y0.74Ca0.16Sr0.6Ba1.5Cu2.78S0.22O7
1406,Y0.74Ca0.16Sr1.1Ba1Cu2.78S0.22O7
1407,Y0.74Ca0.16Sr1.6Ba0.5Cu2.78S0.22O7
1408,Y0.74Ca0.16Sr2.1Cu2.78S0.22O7
1409,Y0.74Eu0.35Ba1.91Cu2.81Al0.3O7
1410,Y0.75Ca0.05Pr0.2Ba2Cu3O6.95
1411,Y0.75Ca0.1Pr0.15Ba2Cu3O6.95
1412,Y0.75Ca0.25Ba2Cu2.75Al0.25O6.86
1413,Y0.75Ca0.25Ba2Cu2.75Co0.25O6.8
1414,Y0.75Ca0.25Ba2Cu2.75Co0.25O6.82
1415,Y0.75Ca0.25Ba2Cu2.75Co0.25O6.98
1416,Y0.75Ca0.25Ba2Cu2.75Co0.25O7
1417,Y0.75Ca0.25Ba2Cu2.75Ni0.25O6.77
1418,Y0.75Ca0.25Ba2Cu2.75Zn0.25O6.76
1419,Y0.75Pr0.25Ba2Cu3O7
1420,Y0.75Pr0.2Ca0.05Ba2Cu3O7
1421,Y0.75Sc0.25Ba2Cu3O7
1422,Y0.76Ca0.24Ba2Cu2.55Co0.45O6.93
1423,Y0.76Ca0.24Ba2Cu2.64Co0.36O6.96
1424,Y0.76Ca0.24Ba2Cu2.76Co0.24O6.84
1425,Y0.76Ca0.24Ba2Cu2.85Co0.15O6.8
1426,Y0.76Ca0.24Ba2Cu2.94Co0.06O6.81
1427,Y0.76Ca0.34Ba2Cu2.55Co0.45O6.95
1428,Y0.77Ca0.08Pr0.15Ba2Cu3O6.95
1429,Y0.78Pr0.22Ba2Cu3O7
1430,Y0.7Ca0.15Pr0.15Ba2Cu3O6.95
1431,Y0.7Ca0.1Pr0.2Ba2Cu3O6.95
1432,Y0.7Ca0.3Ba1.3La0.7Cu3O7.16
1433,Y0.7Ca0.3Ba1.4La0.6Cu3O7.12
1434,Y0.7Ca0.3Ba1.7La0.3Cu3O6.92
1435,Y0.7Ca0.3Ba1.7La0.3Cu3O6.96
1436,Y0.7Ca0.3Ba2Cu2.55Co0.45O6.84
1437,Y0.7Ca0.3Ba2Cu2.7Co0.3O6.78
1438,Y0.7Ca0.3Ba2Cu2.7Co0.3O6.84
1439,Y0.7Ca0.3Ba2Cu2.7Co0.3O6.93
1440,Y0.7Ca0.3Ba2Cu2.7Co0.3O7.02
1441,Y0.7Ca0.3Ba2Cu2.7Ni0.3O7
1442,Y0.7Ca0.3Ba2Cu3O6.78
1443,Y0.7Ca0.3Ba2Cu3O6.87
1444,Y0.7Ca0.3Sr1.5Ba0.5Cu2.8Cr0.2O7
1445,Y0.7Ca0.3Sr2Cu2.5Se0.5O7
1446,Y0.7Cd0.3Ba2Cu3O7
1447,Y0.7La0.3Ba2Cu3O6.92
1448,Y0.7Pr0.15Ca0.15Ba2Cu3O7
1449,Y0.7Pr0.2Ca0.1Ba2Cu3O7
1450,Y0.7Pr0.2Cd0.1Ba2Cu3O7
1451,Y0.7Pr0.3Ba2Cu3O6.5
1452,Y0.7Pr0.3Ba2Cu3O6.6
1453,Y0.7Pr0.3Ba2Cu3O6.65
1454,Y0.7Pr0.3Ba2Cu3O6.75
1455,Y0.7Pr0.3Ba2Cu3O6.85
1456,Y0.7Pr0.3Ba2Cu3O6.88
1457,Y0.7Pr0.3Ba2Cu3O6.942
1458,Y0.7Pr0.3Ba2Cu3O6.95
1459,Y0.7Pr0.3Ba2Cu3O6.96
1460,Y0.7Pr0.3Ba2Cu3O6.965
1461,Y0.7Pr0.3Ba2Cu3O6.97
1462,Y0.7Pr0.3Ba2Cu3O6.98
1463,Y0.7Pr0.3Ba2Cu3O7
1464,Y0.7Pr0.3Sr2Cu2.7Mo0.3O7
1465,Y0.7Zn0.3Ba2Cu3O7
1466,Y0.82Pr0.1Ca0.08Ba2Cu3O7
1467,Y0.83Ca0.02Pr0.15Ba2Cu3O6.95
1468,Y0.84Pr0.1Ca0.06Ba2Cu3O7
1469,Y0.84Sr1.16Ba1Cu2.78S0.22O7
1470,Y0.84Sr2.16Cu2.78S0.22O7
1471,Y0.85Ca0.05Pr0.1Ba2Cu3O6.95
1472,Y0.85Ca0.15Ba2Cu2.55Co0.45O7.08
1473,Y0.85Ca0.15Ba2Cu2.75Co0.25O7.01
1474,Y0.85Ca0.15Ba2Cu2.85Al0.15O6.87
1475,Y0.85Ca0.15Ba2Cu2.85Co0.15O6.78
1476,Y0.85Ca0.15Ba2Cu2.85Co0.15O6.83
1477,Y0.85Ca0.15Ba2Cu2.85Co0.15O6.97
1478,Y0.85Ca0.15Ba2Cu2.85Ni0.15O6.85
1479,Y0.85Ca0.15Ba2Cu2.85Zn0.15O6.85
1480,Y0.85Ca0.15Ba2Cu2.8Zn0.2O6.74
1481,Y0.85Ca0.15Ba2Cu3O6.58
1482,Y0.85Ca0.15Ba2Cu3O6.65
1483,Y0.85Ca0.15Ba2Cu3O6.71
1484,Y0.85Ca0.15Ba2Cu3O6.9
1485,Y0.85Ca0.15Sr0.5Ba1.5Cu2.5B0.5O7
1486,Y0.85Ca0.15Sr1.5Ba0.5Cu2.5B0.5O7
1487,Y0.85Ca0.15Sr1Ba1Cu2.5B0.5O7
1488,Y0.85Cs0.15Ba2Cu3O6.5
1489,Y0.85Pr0.15Ba2Cu3O6.5
1490,Y0.85Pr0.15Ba2Cu3O6.65
1491,Y0.85Pr0.15Ba2Cu3O6.8
1492,Y0.85Pr0.15Ba2Cu3O6.84
1493,Y0.85Pr0.15Ba2Cu3O6.95
1494,Y0.85Pr0.15Ba2Cu3O6.97
1495,Y0.85Pr0.15Ba2Cu3O6.98
1496,Y0.85Pr0.15Ba2Cu3O7
1497,Y0.868Ca0.132Ba2Cu3O6.928
1498,Y0.86Pr0.1Ca0.04Ba2Cu3O7
1499,Y0.87Pr0.13Ba2Cu3O7
1500,Y0.88Ca0.12Ba2Cu2.88Co0.12O6.78
1501,Y0.88Ca0.12Sr2Cu2.5Fe0.5O6.89
1502,Y0.88Eu0.17Ba1.95Cu2.82Al0.32O7
1503,Y0.88Pr0.1Ca0.02Ba2Cu3O7
1504,Y0.88Tb0.12Ba2Cu3O7
1505,Y0.899Ca0.101Ba2Cu3O6.943
1506,Y0.89Pr0.05Ca0.06Ba2Cu3O7
1507,Y0.8Ca0.05Pr0.15Ba2Cu3O6.95
1508,Y0.8Ca0.1Pr0.1Ba2Cu3O6.95
1509,Y0.8Ca0.1Pr0.1Ba2Cu3O7.01
1510,Y0.8Ca0.2Ba1.4La0.6Cu3O7.15
1511,Y0.8Ca0.2Ba1.5La0.5Cu3O7.11
1512,Y0.8Ca0.2Ba1.5La0.5Cu3O7.13
